Rk,G,Date,Opp,W/L,PTS,Opp.1,PTS.1,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
65,65,2023-03-06,MIA,L,128,130,51,92,.554,9,29,.310,17,23,.739,12,37,28,5,0,11,25,41,77,.532,16,29,.552,32,37,.865,8,32,27,6,4,11,17
66,66,2023-03-08,WAS,W,122,120,45,85,.529,12,29,.414,20,26,.769,8,36,26,11,5,11,17,47,83,.566,12,29,.414,14,17,.824,6,39,34,9,1,19,16
67,67,2023-03-10,WAS,W,114,107,42,95,.442,15,31,.484,15,19,.789,13,46,25,9,4,14,17,43,88,.489,7,27,.259,14,18,.778,7,43,27,8,6,15,17
68,68,2023-03-11,BOS,L,125,134,50,100,.500,10,34,.294,15,16,.938,13,48,24,4,4,10,17,52,95,.547,20,42,.476,10,12,.833,5,40,35,6,6,9,21
69,69,2023-03-13,MIN,L,115,136,44,97,.454,4,22,.182,23,28,.821,18,51,17,6,4,16,19,54,92,.587,12,28,.429,16,23,.696,5,37,39,12,10,13,22
70,70,2023-03-17,GSW,W,127,119,47,100,.470,16,41,.390,17,25,.680,13,45,27,7,8,11,15,47,98,.480,11,40,.275,14,20,.700,16,54,28,6,9,17,20
71,71,2023-03-19,SAS,L,118,126,48,101,.475,5,22,.227,17,20,.850,20,51,21,4,4,12,13,51,94,.543,14,28,.500,10,16,.625,10,41,26,9,5,12,18
72,72,2023-03-21,DET,W,129,107,44,95,.463,14,38,.368,27,36,.750,21,61,26,5,6,11,20,37,91,.407,13,40,.325,20,24,.833,9,35,20,8,2,10,26
73,73,2023-03-22,MIN,L,124,125,45,85,.529,12,26,.462,22,25,.880,9,41,28,6,6,17,25,45,92,.489,11,26,.423,24,29,.828,11,42,27,7,3,11,20
74,74,2023-03-25,IND,W,143,130,53,96,.552,15,30,.500,22,25,.880,15,42,33,10,8,13,14,52,96,.542,14,37,.378,12,12,1.000,10,32,33,7,7,17,18
75,75,2023-03-26,MEM,L,119,123,45,98,.459,7,31,.226,22,26,.846,14,48,27,4,5,10,15,48,89,.539,13,33,.394,14,19,.737,6,39,28,8,7,11,22
76,76,2023-03-28,CLE,W,120,118,41,89,.461,12,27,.444,26,33,.788,14,51,25,5,3,15,16,47,93,.505,9,25,.360,15,22,.682,10,40,20,5,6,8,24
77,77,2023-03-31,BRK,L,107,124,39,91,.429,8,37,.216,21,23,.913,16,46,23,6,3,11,14,49,88,.557,15,33,.455,11,13,.846,9,41,33,9,3,13,17
78,78,2023-04-02,DAL,W,132,130,51,108,.472,12,35,.343,18,22,.818,16,53,28,10,3,11,22,49,95,.516,10,38,.263,22,32,.688,10,47,24,4,3,14,15
79,79,2023-04-04,CHI,W,123,105,48,86,.558,10,28,.357,17,19,.895,7,48,26,5,7,17,18,41,89,.461,7,31,.226,16,20,.800,6,32,16,8,6,8,18
80,80,2023-04-05,WAS,W,134,116,43,84,.512,13,30,.433,35,40,.875,12,48,30,10,5,17,23,45,94,.479,6,28,.214,20,26,.769,12,39,23,10,9,14,26
81,81,2023-04-07,PHI,L,131,136,51,92,.554,10,33,.303,19,28,.679,4,38,32,11,7,21,19,51,102,.500,11,22,.500,23,29,.793,13,52,33,10,2,20,22
82,82,2023-04-09,BOS,L,114,120,44,97,.454,11,39,.282,15,19,.789,16,50,27,11,5,9,12,42,89,.472,25,54,.463,11,14,.786,12,47,33,5,3,15,13
1,1,2022-10-18,PHI,W,126,117,46,82,.561,12,35,.343,22,28,.786,6,36,24,8,3,11,24,40,80,.500,13,34,.382,24,28,.857,4,31,16,8,3,14,25
2,2,2022-10-21,MIA,W,111,104,41,79,.519,14,33,.424,15,15,1.000,12,43,17,4,11,20,23,42,92,.457,8,26,.308,12,15,.800,11,36,23,8,3,10,18
3,3,2022-10-22,ORL,W,126,120,42,87,.483,19,47,.404,23,28,.821,7,37,24,5,6,8,21,45,95,.474,15,34,.441,15,23,.652,12,48,21,5,7,9,24
4,4,2022-10-24,CHI,L,102,120,37,100,.370,18,48,.375,10,12,.833,14,45,26,5,7,11,24,42,87,.483,10,21,.476,26,29,.897,14,60,29,4,6,14,18
5,5,2022-10-28,CLE,L,123,132,42,82,.512,13,33,.394,26,32,.813,5,34,28,9,2,19,27,45,87,.517,16,35,.457,26,34,.765,9,42,18,5,2,16,28
6,6,2022-10-30,WAS,W,112,94,36,79,.456,21,47,.447,19,20,.950,4,47,29,4,5,14,15,38,98,.388,7,32,.219,11,16,.688,15,51,22,5,6,10,20
7,7,2022-11-02,CLE,L,113,114,38,93,.409,11,41,.268,26,27,.963,8,52,26,5,9,14,24,42,100,.420,11,39,.282,19,24,.792,9,51,24,6,4,11,23
8,8,2022-11-04,CHI,W,123,119,41,83,.494,9,31,.290,32,39,.821,7,39,24,5,7,14,23,43,83,.518,11,28,.393,22,25,.880,4,37,21,8,5,17,28
