     ,Date                ,Start (ET) ,Visitor/Neutral        ,PTS ,Home/Neutral           ,PTS.1 ,Unnamed: 6 ,Unnamed: 7 ,Attend. ,LOG    ,Arena                      ,Notes
  51 ,"Tue, Oct 26, 2021" ,8:30p      ,Los Angeles Lakers     ,125 ,San Antonio Spurs      ,  121 ,Box Score  ,OT         ,18354.0 ,2:26   ,AT&T Center                ,
  52 ,"Tue, Oct 26, 2021" ,8:30p      ,Houston Rockets        ,106 ,Dallas Mavericks       ,  116 ,Box Score  ,           ,19337.0 ,2:11   ,American Airlines Center   ,
  53 ,"Tue, Oct 26, 2021" ,10:00p     ,Denver Nuggets         ,110 ,Utah Jazz              ,  122 ,Box Score  ,           ,18306.0 ,2:28   ,Vivint Smart Home Arena    ,
  54 ,"Wed, Oct 27, 2021" ,7:00p      ,Charlotte Hornets      ,120 ,Orlando Magic          ,  111 ,Box Score  ,           ,14082.0 ,2:11   ,Amway Center               ,
  55 ,"Wed, Oct 27, 2021" ,7:30p      ,Washington Wizards     ,116 ,Boston Celtics         ,  107 ,Box Score  ,           ,19156.0 ,2:18   ,TD Garden                  ,
  56 ,"Wed, Oct 27, 2021" ,7:30p      ,Miami Heat             ,106 ,Brooklyn Nets          ,   93 ,Box Score  ,           ,17732.0 ,2:13   ,Barclays Center            ,
  57 ,"Wed, Oct 27, 2021" ,7:30p      ,Indiana Pacers         ,100 ,Toronto Raptors        ,  118 ,Box Score  ,           ,19800.0 ,2:14   ,Scotiabank Arena           ,
  58 ,"Wed, Oct 27, 2021" ,7:30p      ,Atlanta Hawks          ,102 ,New Orleans Pelicans   ,   99 ,Box Score  ,           ,15541.0 ,2:16   ,Smoothie King Center       ,
  59 ,"Wed, Oct 27, 2021" ,8:00p      ,Minnesota Timberwolves ,113 ,Milwaukee Bucks        ,  108 ,Box Score  ,           ,17341.0 ,2:14   ,Fiserv Forum               ,
  60 ,"Wed, Oct 27, 2021" ,8:00p      ,Los Angeles Lakers     ,115 ,Oklahoma City Thunder  ,  123 ,Box Score  ,           ,15783.0 ,2:25   ,Paycom Center              ,
