Team_Name,G,W,L,W/L%,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP.1,ORB,DRB,TRB,ORB.1,DRB.1,TRB.1,MP.2,AST,STL,BLK,TOV,PF,ORtg,DRtg,FTr,3PAr,TS%,eFG%,FT/FGA
HOU,1.0,0.7142857142857143,0.2857142857142857,0.7142857142857143,240.0,43.214285714285715,92.71428571428571,0.46749999999999997,29.714285714285715,57.857142857142854,0.5165714285714286,13.5,34.857142857142854,0.3896428571428571,17.5,24.428571428571427,0.7225,117.42857142857143,240.0,15.5,30.071428571428573,45.57142857142857,11.0,30.214285714285715,41.214285714285715,240.0,23.857142857142858,10.214285714285714,4.214285714285714,13.785714285714286,19.642857142857142,119.61428571428571,115.47142857142856,0.2677857142857143,0.37685714285714284,0.5683571428571429,0.5404285714285714,0.1925714285714286
IND,1.0,0.8333333333333334,0.16666666666666666,0.8333333333333334,240.0,45.416666666666664,90.16666666666667,0.50475,32.583333333333336,56.25,0.5821666666666666,12.833333333333334,33.916666666666664,0.3785,16.166666666666668,21.166666666666668,0.7669166666666666,119.83333333333333,240.0,9.416666666666666,33.166666666666664,42.583333333333336,11.583333333333334,32.916666666666664,44.5,240.0,30.416666666666668,9.083333333333334,5.083333333333333,12.333333333333334,18.0,120.15833333333335,110.29166666666667,0.23883333333333334,0.377,0.6030833333333333,0.5761666666666666,0.18241666666666667
LAC,1.0,0.6,0.4,0.6,241.66666666666666,42.733333333333334,87.73333333333333,0.4878666666666667,31.666666666666668,55.46666666666667,0.5698000000000001,11.066666666666666,32.266666666666666,0.3506,17.8,21.533333333333335,0.8133333333333332,114.33333333333333,241.66666666666666,10.2,35.53333333333333,45.733333333333334,10.666666666666666,31.466666666666665,42.13333333333333,241.66666666666666,24.533333333333335,9.466666666666667,5.2,14.6,17.333333333333332,115.70666666666666,106.74666666666667,0.24986666666666665,0.36813333333333337,0.5891333333333333,0.551,0.206
LAL,1.0,0.6153846153846154,0.38461538461538464,0.6153846153846154,240.0,41.76923076923077,83.23076923076923,0.5015384615384616,29.384615384615383,49.30769230769231,0.5966923076923076,12.384615384615385,33.92307692307692,0.3617692307692308,16.307692307692307,20.076923076923077,0.8071538461538462,112.23076923076923,240.0,7.846153846153846,32.92307692307692,40.76923076923077,11.384615384615385,30.076923076923077,41.46153846153846,240.0,26.384615384615383,7.230769230769231,5.0,13.384615384615385,16.153846153846153,117.26923076923077,113.98461538461538,0.2443076923076923,0.4096153846153846,0.6097692307692307,0.5763076923076923,0.1986153846153846
MEM,1.0,0.7142857142857143,0.2857142857142857,0.7142857142857143,240.0,46.642857142857146,93.71428571428571,0.49778571428571433,33.142857142857146,58.0,0.5750000000000001,13.5,35.714285714285715,0.3717142857142857,16.285714285714285,21.571428571428573,0.7702142857142856,123.07142857142857,240.0,13.714285714285714,31.357142857142858,45.07142857142857,12.214285714285714,28.857142857142858,41.07142857142857,240.0,27.285714285714285,9.428571428571429,5.214285714285714,15.285714285714286,20.857142857142858,121.73571428571428,116.60714285714286,0.23664285714285715,0.38078571428571434,0.5970714285714286,0.5693571428571429,0.17857142857142858
MIA,1.0,0.4666666666666667,0.5333333333333333,0.4666666666666667,246.66666666666666,40.4,88.53333333333333,0.45713333333333334,26.333333333333332,47.733333333333334,0.5521333333333334,14.066666666666666,40.8,0.3518,14.466666666666667,18.133333333333333,0.8128,109.33333333333333,246.66666666666666,9.133333333333333,36.0,45.13333333333333,11.533333333333333,36.13333333333333,47.666666666666664,246.66666666666666,27.733333333333334,7.066666666666666,4.4,13.866666666666667,14.333333333333334,110.22666666666667,114.22666666666666,0.20686666666666667,0.46186666666666665,0.5683333333333334,0.5369333333333334,0.16553333333333334
MIL,1.0,0.6,0.4,0.6,240.0,44.2,88.4,0.5035333333333333,30.2,52.6,0.5763333333333333,14.0,35.8,0.39580000000000004,16.733333333333334,22.8,0.7216666666666666,119.13333333333334,240.0,8.866666666666667,36.666666666666664,45.53333333333333,12.0,34.4,46.4,240.0,27.4,6.4,5.066666666666666,12.466666666666667,18.733333333333334,119.06666666666666,114.88000000000001,0.2653333333333333,0.40213333333333334,0.6076666666666667,0.5826,0.19499999999999998
MIN,1.0,0.625,0.375,0.625,240.0,40.4375,85.75,0.473375,25.375,48.25,0.527375,15.0625,37.5,0.404,18.4375,23.6875,0.773375,114.375,240.0,11.75,33.3125,45.0625,12.0,30.3125,42.3125,240.0,26.1875,7.75,5.3125,14.75,18.0625,118.19375000000001,111.7625,0.2791875,0.4380625,0.5973125,0.561875,0.2179375
NOP,1.0,0.42857142857142855,0.5714285714285714,0.42857142857142855,241.78571428571428,41.42857142857143,91.28571428571429,0.45385714285714285,27.214285714285715,52.357142857142854,0.5191428571428572,14.214285714285714,38.92857142857143,0.3632142857142857,18.642857142857142,24.714285714285715,0.7576428571428571,115.71428571428571,241.78571428571428,11.285714285714286,33.142857142857146,44.42857142857143,12.5,35.785714285714285,48.285714285714285,241.78571428571428,25.714285714285715,9.357142857142858,5.928571428571429,12.928571428571429,17.214285714285715,114.05,116.85000000000001,0.27164285714285713,0.4255714285714286,0.5660000000000001,0.5314285714285714,0.20500000000000002
NYK,1.0,0.5714285714285714,0.42857142857142855,0.5714285714285714,241.78571428571428,44.42857142857143,91.71428571428571,0.4842857142857143,32.57142857142857,58.785714285714285,0.5569285714285714,11.857142857142858,32.92857142857143,0.34921428571428575,17.428571428571427,21.428571428571427,0.8101428571428572,118.14285714285714,241.78571428571428,13.357142857142858,30.142857142857142,43.5,10.928571428571429,30.285714285714285,41.214285714285715,241.78571428571428,27.5,8.571428571428571,3.2857142857142856,12.714285714285714,16.357142857142858,120.95,117.47142857142858,0.23614285714285715,0.3598571428571429,0.5835714285714285,0.5489285714285714,0.19164285714285714
OKC,1.0,0.6923076923076923,0.3076923076923077,0.6923076923076923,240.0,45.07692307692308,92.53846153846153,0.4877692307692308,30.615384615384617,54.07692307692308,0.565923076923077,14.461538461538462,38.46153846153846,0.3773846153846154,16.53846153846154,19.53846153846154,0.8393076923076923,121.15384615384616,240.0,11.76923076923077,33.38461538461539,45.15384615384615,11.384615384615385,31.384615384615383,42.76923076923077,240.0,26.846153846153847,9.307692307692308,4.615384615384615,12.923076923076923,21.23076923076923,121.27692307692307,108.71538461538461,0.21215384615384617,0.4147692307692307,0.6000769230769231,0.565923076923077,0.17984615384615385
ORL,1.0,0.21428571428571427,0.7857142857142857,0.21428571428571427,243.57142857142858,35.57142857142857,87.28571428571429,0.4095714285714286,25.357142857142858,51.42857142857143,0.49407142857142855,10.214285714285714,35.857142857142854,0.2822857142857143,17.357142857142858,24.285714285714285,0.7138571428571429,98.71428571428571,243.57142857142858,12.071428571428571,29.142857142857142,41.214285714285715,8.5,35.357142857142854,43.857142857142854,243.57142857142858,21.5,8.285714285714286,5.142857142857143,13.5,21.142857142857142,102.46428571428571,114.8,0.28335714285714286,0.4082142857142857,0.5050714285714285,0.46764285714285714,0.20257142857142857
PHI,1.0,0.375,0.625,0.375,241.5625,40.875,86.9375,0.47018750000000004,26.4375,49.0625,0.540125,14.4375,37.875,0.3839375,16.6875,21.0625,0.796,112.875,241.5625,9.1875,28.4375,37.625,10.4375,33.3125,43.75,241.5625,24.25,8.6875,3.5,12.3125,19.125,116.6,119.43125,0.24556250000000002,0.4358125,0.5871875,0.5534375,0.195
PHO,1.0,0.625,0.375,0.625,240.0,42.0,85.125,0.493625,28.6875,50.375,0.5680625,13.3125,34.75,0.379625,17.125,21.25,0.8003750000000001,114.4375,240.0,8.625,33.25,41.875,13.375,32.5625,45.9375,240.0,28.3125,6.8125,4.5,13.75,18.375,117.4625,116.275,0.24962499999999999,0.4075,0.60575,0.5718125000000001,0.2009375
POR,1.0,0.5625,0.4375,0.5625,240.0,40.375,86.6875,0.466125,27.625,51.6875,0.5324375,12.75,35.0,0.36593749999999997,16.8125,21.8125,0.763,110.3125,240.0,12.0,32.3125,44.3125,12.75,31.0,43.75,240.0,23.5625,7.5625,5.5,15.1875,18.25,114.225,112.5375,0.2551875,0.4039375,0.5735,0.5399375,0.1965
SAC,1.0,0.6153846153846154,0.38461538461538464,0.6153846153846154,243.84615384615384,44.38461538461539,95.0,0.4698461538461539,30.846153846153847,56.46153846153846,0.5505384615384615,13.538461538461538,38.53846153846154,0.3518461538461538,16.923076923076923,20.692307692307693,0.8160000000000001,119.23076923076923,243.84615384615384,11.615384615384615,35.15384615384615,46.76923076923077,11.923076923076923,35.53846153846154,47.46153846153846,243.84615384615384,29.46153846153846,7.461538461538462,4.538461538461538,11.923076923076923,17.307692307692307,116.96153846153847,115.95384615384616,0.22046153846153846,0.40592307692307694,0.5753846153846154,0.5412307692307692,0.18084615384615385
SAS,1.0,0.25,0.75,0.25,242.08333333333334,42.666666666666664,92.41666666666667,0.46175000000000005,27.5,51.083333333333336,0.5360833333333334,15.166666666666666,41.333333333333336,0.36766666666666664,15.083333333333334,19.833333333333332,0.7700833333333333,115.58333333333333,242.08333333333334,11.916666666666666,34.25,46.166666666666664,13.333333333333334,35.083333333333336,48.416666666666664,242.08333333333334,29.0,7.75,7.25,13.75,16.5,115.14166666666667,120.56666666666666,0.21708333333333332,0.44616666666666666,0.5718333333333333,0.5435833333333333,0.16466666666666666
TOR,1.0,0.5714285714285714,0.42857142857142855,0.5714285714285714,240.0,42.642857142857146,87.42857142857143,0.49014285714285716,31.5,57.357142857142854,0.5495714285714286,11.142857142857142,30.071428571428573,0.3790714285714286,14.714285714285714,20.571428571428573,0.7098571428571429,111.14285714285714,240.0,9.928571428571429,33.07142857142857,43.0,10.857142857142858,33.5,44.357142857142854,240.0,29.928571428571427,8.142857142857142,4.928571428571429,14.142857142857142,20.142857142857142,112.92142857142858,112.15714285714286,0.2365,0.34285714285714286,0.5785,0.5541428571428572,0.16921428571428573
UTA,1.0,0.26666666666666666,0.7333333333333333,0.26666666666666666,243.33333333333334,40.86666666666667,90.0,0.456,27.133333333333333,49.46666666666667,0.548,13.733333333333333,40.53333333333333,0.33986666666666665,16.666666666666668,21.133333333333333,0.7864,112.13333333333334,243.33333333333334,12.066666666666666,33.53333333333333,45.6,11.733333333333333,32.6,44.333333333333336,243.33333333333334,26.0,6.6,4.866666666666666,15.733333333333333,20.6,112.63333333333334,116.5,0.238,0.4478,0.5662,0.5322,0.18793333333333334
WAS,1.0,0.0625,0.9375,0.0625,240.0,36.8125,89.8125,0.4099375,23.75,49.5,0.4804375,13.0625,40.3125,0.32575,15.625,20.375,0.75275,102.3125,240.0,11.0,32.4375,43.4375,11.6875,37.75,49.4375,240.0,23.5625,7.25,4.25,15.5,18.8125,102.33125,120.8125,0.2315,0.44975,0.518875,0.4825,0.17781249999999998
